UID,excercises
yoh81v5zx,['Ab Wheel']
yoh81v5zx,"['Bench Press (Dumbbell)', 'Bench Press (Dumbbell)', 'Cable Crossover', 'Mountain Climbers', 'Dish Hold']"
yoh81v5zx,"['Ab Wheel', 'Bench Press (Cable)', 'Bench Press (Dumbbell)', 'Cable Kickback', 'Dead Bug']"
vck7jdani,"['Dish Hold', 'Hammer Curls', 'Bench Press (Barbell)']"
vck7jdani,"['Arnold Press', 'Bent Over Row (Barbell)']"
